First Name,Last Name,Days Present,Days Absent
Orelia,Di Domenico,31,33
Glynda,O'Corrin,47,17
Bailie,Caraher,55,9
Elizabeth,Pattenden,31,33
Florian,Lardnar,37,27
Chantal,Caherny,23,41
Sasha,McMenamin,56,8
Ivar,Verbeek,21,43
Jamaal,Challicombe,20,44
Cello,Milnes,63,1
Leese,Leinster,61,3
Aleece,Bernardet,62,2
Archibaldo,Penwell,35,29
Berkly,Dodding,34,30
Ynez,Stive,50,14
Francene,Ebbin,55,9
Ilise,Bowring,34,30
Clo,Knoton,51,13
Guthrie,Valti,54,10
Stacey,Whartonby,44,20
Ernesta,Siggers,61,3
Denice,Espinet,32,32
Antin,Luesley,57,7
Alon,Brash,55,9
Harlen,Penke,26,38
Pyotr,Anten,41,23
Sean,Skelton,59,5
Cary,Johanssen,51,13
Yuri,Keywood,37,27
Ronnie,Narducci,21,43
Chucho,Longmore,41,23
Caleb,Kupka,41,23
Robbin,Harmant,59,5
Gaylor,Shotboult,53,11
Lamont,Tolefree,24,40
Wood,Upjohn,30,34
Brady,Seeds,28,36
Selma,Litherborough,33,31
Carly,Peasee,31,33
Rose,Artinstall,60,4
Hi,Oleksiak,50,14
Berti,Smardon,52,12
Lorraine,Halbard,58,6
Aldis,Sherewood,46,18
Rabbi,McGourty,42,22
Julietta,Layson,59,5
Graehme,Ditch,60,4
Benetta,Zanussii,27,37
Pandora,Seelbach,27,37
Hatty,Crotty,57,7
Tessa,Pogue,43,21
Grantley,Doogan,40,24
Sunny,Lanning,27,37
L;urette,Applegarth,57,7
Wendy,Oscroft,42,22
Ev,Baldack,34,30
Jania,Pesek,38,26
Kelley,Shenton,38,26
Doralynne,Sekulla,42,22
Price,Harrald,20,44
Allen,Welburn,25,39
Merwin,Doag,62,2
Jeannette,Symonds,38,26
Valaree,Heckner,42,22
Gussie,Palmar,35,29
Yehudi,Beggan,38,26
Drusilla,Tuson,57,7
Alanah,Dowtry,51,13
Kathlin,Cobleigh,20,44
Layne,Curston,31,33
Idell,Shropshire,24,40
Kimbra,Whelan,20,44
Nadean,Godsell,54,10
Katinka,Liger,49,15
Fallon,Kettles,59,5
Tally,Powland,38,26
Nolan,Jerosch,38,26
Viva,Yukhnini,32,32
Nevile,Jurewicz,56,8
Brand,Kaes,26,38
Celine,De la Yglesia,35,29
Adrian,Snary,24,40
Anny,Casterot,62,2
Jacques,Cosins,46,18
Lauretta,Greenhalf,40,24
Ettie,Condie,22,42
Tailor,Fellows,59,5
Iago,Szimon,30,34
Howard,Kittow,30,34
Smith,Okenden,27,37
West,Kibby,34,30
Perren,Randalston,43,21
Garnette,Chiese,28,36
Mace,Huntingdon,62,2
Konstantine,Parysowna,20,44
Cristina,Oseman,34,30
Finley,McClements,20,44
Vic,Barends,28,36
Bartholomew,Coyle,60,4
Krystal,Dunlea,32,32
Mireielle,Lundy,61,3
Sharla,Almond,21,43
Sibeal,Templeton,59,5
Pearce,Clayworth,31,33
Sheelah,Greder,26,38
Joly,Wybrow,37,27
Bondon,Antonazzi,52,12
Gwen,Biglin,55,9
Kip,Blowen,61,3
Moises,Orrocks,55,9
Norbie,Shoveller,57,7
Matty,Piperley,40,24
Wileen,Scamadine,29,35
Armstrong,Batiste,48,16
Daisey,Blanning,34,30
Jammal,Ouchterlony,32,32
Cynthea,Whittier,50,14
Templeton,Reynard,26,38
Baron,Sarre,57,7
Rex,Adds,42,22
Oberon,Pollie,41,23
Dorita,Messitt,27,37
Floria,Kitlee,33,31
James,Bartles,26,38
Jay,Yashaev,53,11
Leshia,Sanderson,40,24
Tiffy,Glanz,47,17
Kizzie,Dod,22,42
Madlen,Lethardy,59,5
Estella,Brende,45,19
Grover,Barstock,31,33
Amalee,Marquiss,31,33
Megan,Blyth,41,23
Willette,Fibbit,34,30
Calida,Dymond,49,15
Aharon,Ricardin,44,20
Maurits,Petyanin,39,25
Ermanno,Polglaze,41,23
Ancell,Borrel,53,11
Keven,Latchford,52,12
Rona,Hammill,27,37
Evita,Sirett,36,28
Lorry,Sarle,51,13
Kate,Fannon,47,17
Paulina,Vale,31,33
Earl,Kelleway,28,36
Culver,Daburn,55,9
Antonie,Worcester,63,1
Magda,Cullrford,34,30
Jeremiah,Diack,51,13
Lynett,Dibdin,22,42
Trace,Neenan,36,28
Miran,Gowans,20,44
Orsa,Orrey,41,23
Gillie,Bermingham,22,42
Mikaela,Madgwick,48,16
Maximo,Greenin,53,11
Daron,Fellis,37,27
Dorothea,Haselwood,33,31
Pernell,Howgego,45,19
Jaimie,Bebbell,44,20
Rici,Dohms,36,28
Oralla,Braffington,41,23
Elisa,Whiteley,47,17
Emalia,Kynson,45,19
Kakalina,Standbrook,47,17
Billy,Dionis,40,24
Kit,Fishbourn,37,27
Sayer,Romain,53,11
Welby,Dymott,52,12
Darci,Brozsset,32,32
Emelyne,Pierro,57,7
Afton,Ninotti,49,15
Sofie,Duinbleton,33,31
Franciskus,Brittles,61,3
Darline,Glandon,35,29
Adara,Beringer,21,43
Maddie,Kennard,20,44
Bobbe,Rangall,55,9
Osgood,Darnborough,27,37
Cory,Shackle,53,11
Denna,Bulluck,60,4
Jocelin,Slora,27,37
Woodman,Cockman,25,39
Wain,Jime,23,41
Twila,Bradmore,43,21
Marcus,Lemery,63,1
Alia,Whayman,53,11
Maximilien,Shipcott,32,32
Robina,Exroll,52,12
Walt,De Ferraris,40,24
Alf,Stiff,33,31
Vernon,Yateman,23,41
Von,Kearton,36,28
Dacie,Hunnam,32,32
Silvie,Lepere,60,4
Thorpe,Trudgion,20,44
Lucais,Hyrons,53,11
Matthieu,Hoyer,37,27
Reine,Djorvic,54,10
Saree,Farquhar,52,12
Sallyann,Tawse,31,33
Victor,Stonham,28,36
Corella,Thumnel,55,9
Andy,Philipard,34,30
Idette,Bande,49,15
Allyn,Wheldon,49,15
Leslie,Rontree,59,5
Bibbie,Bortolomei,26,38
Bartolemo,Cleave,63,1
Korry,Leirmonth,32,32
Aridatha,Bonicelli,27,37
Twila,Grinley,36,28
Lettie,Pennyman,43,21
Blake,MacIlhargy,23,41
Daniele,McCloy,38,26
Felizio,Weinmann,53,11
Ilsa,Tettley,43,21
Ardyce,Meriton,39,25
Shandee,Scard,21,43
Cristionna,Hegden,50,14
Mignonne,Dumsday,37,27
Raynell,Behneke,36,28
Adina,Gawthorpe,62,2
Sheff,De Andreis,53,11
Mab,Canepe,45,19
Dynah,Petrillo,60,4
Leroi,Crumpe,26,38
Lynnett,Gierardi,54,10
Winny,Scoggans,39,25
Shirlene,Palluschek,42,22
Zarah,Symington,50,14
Bernete,Westoff,61,3
Marlowe,Daniell,42,22
Berkly,Stanett,38,26
Dominga,Peat,57,7
Karlotte,Vaudre,28,36
Carmelina,Ashbridge,53,11
Ricardo,Barmby,43,21
Alyson,Lindsell,29,35
Valentine,McPherson,29,35
Analiese,Bliven,34,30
Nathanial,Matczak,45,19
Lanny,Alyukin,23,41
Emmott,Barnaby,37,27
Trudey,Skarman,45,19
Daloris,Skillicorn,62,2
Ranna,Eagland,23,41
Amitie,McGairl,57,7
Karissa,Dickon,26,38
Laural,Hexum,44,20
Quinlan,Franckton,51,13
Anissa,Semerad,23,41
Aland,Ashlee,39,25
Chickie,Asch,59,5
Linda,Haberjam,46,18
Ad,Falco,42,22
Care,Reihill,57,7
Odelia,Bayston,20,44
Tedi,Nekrews,44,20
Adore,Rowan,46,18
Thorn,Blencowe,40,24
Prudy,Duetsche,31,33
Ariana,Shearmer,36,28
Karoline,Gash,37,27
Liam,Sings,62,2
Denise,Huckleby,44,20
Truda,Welband,43,21
Kelcey,Dragonette,37,27
Bridgette,Hachard,43,21
Joy,Brobeck,29,35
Kimbra,Yuille,61,3
Harold,Dunckley,49,15
Tabbie,Edgar,36,28
Nataniel,Capinetti,41,23
Aldus,Lindro,24,40
Shaylah,Bottle,26,38
Pammie,Maxweell,25,39
Ericka,Ebourne,43,21
Trstram,Macci,51,13
Malory,Jonk,49,15
Jammal,Reubens,33,31
Ramsay,Wither,27,37
Yoshiko,Dies,58,6
Nicky,Rawes,27,37
Bourke,Upson,38,26
Bernetta,Barkaway,44,20
Cynthie,Marthen,22,42
Patricio,Meakin,55,9
Ivonne,World,56,8
Joey,McJury,25,39
Tammie,Alabone,55,9
Emmie,Laba,26,38
Blinny,Upwood,34,30
Carmine,Budd,55,9
Walker,Capron,44,20
Hollyanne,Tomaszewicz,29,35
Johna,Kordova,49,15
Brit,Craze,26,38
Babs,Swaysland,23,41
Ronica,Proppers,57,7
Sasha,Corsor,46,18
Grethel,Husset,62,2
Lotta,Ucceli,44,20
Gerrie,Bonehill,49,15
Buckie,Ezzle,55,9
Kizzie,Columbine,58,6
Bobbie,Cobbing,38,26
Dasha,Traite,63,1
Janetta,Dressell,60,4
Randall,Barnfield,61,3
Vonni,Mullin,27,37
Reg,Watting,25,39
Stanley,Monks,49,15
Cori,Oolahan,47,17
Killian,Cater,32,32
Angil,Grundy,54,10
Winston,Coltan,28,36
Elianora,Killshaw,40,24
Elsa,Yakutin,56,8
Melodie,Maine,34,30
Gena,Hollyman,33,31
Vallie,Beetles,29,35
Jada,Lindenman,58,6
Consolata,Augur,49,15
Gail,Farnish,41,23
Jdavie,Chard,24,40
Hartwell,Drakeley,22,42
Tanitansy,Lowther,52,12
Cherie,Himsworth,43,21
Pail,Weadick,49,15
Ivy,Bridgen,40,24
Porty,Lowdiane,22,42
Emylee,Shawel,58,6
Hayward,MacKellen,54,10
Charita,Mabee,53,11
Lelah,Huyghe,51,13
Audre,Balsdon,52,12
Melesa,Carillo,38,26
Penny,Nertney,29,35
Devan,Soppett,63,1
Philippe,Plume,32,32
Hunt,Zamboniari,42,22
Ralina,O'Lunny,22,42
Marianne,Doig,39,25
Hildegaard,Loveredge,35,29
Renee,Ingray,31,33
Stevana,Baddiley,49,15
Rafaelita,Punshon,31,33
Dacie,Harnetty,47,17
Davidde,Linch,33,31
Helsa,Parham,55,9
Gustave,Pickervance,54,10
Stearn,Quilleash,38,26
Bernhard,Pakes,39,25
Zebadiah,Nudde,22,42
Edgardo,Bickell,55,9
Alane,Biddiss,21,43
Marylynne,Hinckesman,50,14
Leslie,Hann,61,3
Johna,Degue,49,15
Leupold,Paladino,60,4
Adham,Purrier,35,29
Adlai,Trippitt,34,30
Anthony,Paolazzi,24,40
Muhammad,Daysh,35,29
Reyna,Dudson,48,16
Olivia,Elsay,23,41
Rica,Greensitt,35,29
Puff,Wattam,21,43
Claudina,Biasetti,61,3
Terrance,Sibary,55,9
Celinka,Skey,36,28
Dew,Bartlett,59,5
Gaye,Dallison,33,31
Terry,Lillow,20,44
Shel,Vice,31,33
Drucy,Greet,39,25
Ingelbert,Sessuns,35,29
Zak,Lillee,37,27
Mirilla,Davidow,30,34
Buiron,Crauford,49,15
Gizela,Oke,41,23
Candace,Glowacz,21,43
Rockey,Center,49,15
Lannie,Bessey,23,41
Blanche,Edling,56,8
Yevette,Crimpe,35,29
Kimmy,Brody,34,30
Burnaby,Gosby,47,17
Bearnard,Swainston,27,37
Chrissie,Torrans,62,2
Marc,Bailey,57,7
Merl,Pudner,32,32
Ivar,Noddings,62,2
Maryjo,Dewicke,49,15
Kippar,Lambrecht,44,20
Donielle,Selwyne,62,2
Kerstin,Escreet,46,18
Theresina,Woolnough,20,44
Marie,Antuk,57,7
Dolorita,Borrows,45,19
Cass,Seivertsen,61,3
Trumaine,Goncalo,37,27
Frank,Mersh,61,3
Magdalene,Treend,31,33
Blanca,Arnaez,24,40
Shirline,Saben,28,36
Grace,Fernie,20,44
Theda,Ryam,40,24
Ginny,Sebyer,37,27
Jesse,Worsall,54,10
Sammy,Ferrarotti,26,38
Alta,Ianittello,33,31
Joye,Sleit,59,5
Hanny,Cullity,46,18
Fair,Brandi,36,28
Derry,Crowest,49,15
Sasha,Tukesby,34,30
Jeffry,De Blasio,44,20
Mildrid,Blurton,50,14
Benedetto,Staker,21,43
Yalonda,Cranch,53,11
Andeee,Dorrity,58,6
Aron,Cosslett,28,36
Agretha,Ivanchikov,62,2
Desirae,Tondeur,33,31
De witt,Moorton,38,26
Etti,Ehlerding,41,23
Stavros,Rhead,52,12
Ansley,Took,53,11
Langston,Janjic,45,19
Yasmin,Jinkins,49,15
Corry,Lassells,58,6
Kareem,Shieldon,20,44
Blair,Troyes,55,9
Ivy,Briscam,27,37
Billie,Keyte,52,12
Rhodie,Lissimore,46,18
Jeannie,Clausen-Thue,23,41
Lonnard,Stivey,22,42
Jany,Batcock,31,33
Demetris,Aslett,24,40
Tammy,Elcombe,23,41
Eddy,O'Gaven,53,11
Stacee,Martine,36,28
Vivyanne,Aughtie,25,39
Flinn,Tollfree,60,4
Indira,Verna,33,31
Maximilianus,Hannam,51,13
Galvan,Pioch,32,32
Margi,Sentance,30,34
Ches,Thornebarrow,21,43
Evelin,Myott,35,29
Emmalyn,Piegrome,58,6
Lindy,Wallman,22,42
Kori,Feavers,23,41
Gussy,Dowdell,58,6
Merci,Tutsell,21,43
Kameko,Sherer,29,35
Amye,Barwis,55,9
Louisa,McRamsey,59,5
Aveline,Peggram,51,13
Valerie,MacDonagh,51,13
Ileana,Paolicchi,28,36
Warden,McDonnell,20,44
Cristi,Hargrove,55,9
Warde,Fullwood,50,14
Tristan,Parman,54,10
Patience,Turfin,38,26
Melva,Bradburn,39,25
Robinett,Kingaby,56,8
Jennee,Portch,44,20
Tomi,Murrison,51,13
Freddi,Phillps,46,18
Hagan,Rawne,63,1
Frieda,Peart,38,26
Lucien,Crean,23,41
Gilemette,Vezey,55,9
Janith,Amburgy,34,30
Cross,Oleksinski,37,27
Krystle,Davage,23,41
Doria,Oulet,46,18
Normie,Cleave,43,21
Waly,Tomet,44,20
Wadsworth,Gores,30,34
Kyrstin,Liebermann,38,26
Deni,Baudin,63,1
Ceciley,Kubicki,50,14
Jordanna,Siley,41,23
Bobbette,Whiteley,31,33
Peyton,Addekin,28,36
Lief,Barajaz,20,44
Esmaria,Tawn,52,12
Suzanne,Guiso,60,4
Korella,Lavelle,46,18
Harold,Heminsley,36,28
Minnaminnie,Vaneev,30,34
Amitie,Elvy,56,8
Markus,Madill,37,27
Carmon,Phear,53,11
Freddie,Eldered,59,5
Vallie,Payton,48,16
Rafaello,Shelp,48,16
Elana,Dupree,60,4
Davita,Reder,27,37
Zedekiah,Anstie,30,34
Cassie,Margaritelli,37,27
Sinclair,Blacklock,28,36
Farrell,Nise,59,5
Georgena,Richings,23,41
Kahlil,Buie,53,11
Drusi,Beckenham,28,36
Bogey,Andresen,44,20
Jobi,Dreossi,54,10
Isacco,Holston,24,40
Andris,Somerbell,56,8
Casey,Kelshaw,63,1
Dru,Lorryman,21,43
Gothart,Duigan,30,34
Jarred,Aggas,48,16
Emili,Matyja,20,44
Sherilyn,Jilkes,41,23
Jacklin,Scoyne,38,26
Kip,Bannell,22,42
Miles,Pavitt,22,42
Hedvig,Abbot,47,17
Melisa,Fibbens,47,17
Jecho,Ebbrell,42,22
Barris,Traves,44,20
Norrie,Kencott,58,6
Randell,Gummow,31,33
Robby,Scrivener,46,18
Gonzales,Blanchard,54,10
Marcela,Gath,37,27
Meryl,Laytham,36,28
Jacinda,Gelderd,60,4
Ilyssa,Fortie,43,21
Pascale,Casini,59,5
Katlin,Maulden,47,17
Perkin,Caughey,45,19
Leopold,Banton,38,26
Brittaney,Cumberpatch,49,15
Glynda,Lidierth,28,36
Lukas,Gallon,35,29
Massimo,Bedminster,61,3
Franciska,Betonia,34,30
Kathrine,Ducastel,41,23
Jaymee,Mannakee,28,36
Cam,Riccardini,33,31
Jamima,Cossor,23,41
Red,Braybrook,43,21
Agnese,Wahlberg,46,18
Erasmus,Simmers,35,29
Amye,Berni,32,32
Korney,Perring,59,5
Tiphany,Yepiskov,22,42
Jeannette,Kocher,44,20
Brig,Tremontana,26,38
Hiram,Birkenshaw,21,43
Louis,Gabbatiss,47,17
Christoforo,Gillon,62,2
Tatum,Daughton,33,31
Amberly,Wones,27,37
Suzanna,Richardeau,20,44
Jamima,Heed,43,21
Sandy,Helks,37,27
Gabbi,Dowdell,48,16
Faustine,Trimmell,21,43
Keelia,McBoyle,42,22
Wanids,Jaffrey,21,43
Flint,Donlon,32,32
Emile,Sprules,33,31
Ferne,Poure,55,9
Antoine,Haycox,58,6
Henka,Tartt,40,24
Glennis,Eastlake,43,21
Norris,Denness,57,7
Michele,Keford,20,44
Chere,Vinson,45,19
Natalie,Swynfen,47,17
Zane,Slaght,35,29
Penni,Nobriga,40,24
Deb,Martina,27,37
Alix,McGonnell,50,14
Poppy,Denniston,46,18
Dino,Behr,38,26
Nikolai,Paynton,44,20
Kalindi,Abella,31,33
Lina,Jedrzejczyk,43,21
Darrick,Shellard,51,13
Eunice,Brazur,34,30
Livvyy,Vasquez,53,11
Hyacintha,Figgen,58,6
Reggis,Daniello,45,19
Braden,Berrane,28,36
Gil,Wyrall,26,38
Emylee,Yurygyn,41,23
Rori,Colvill,34,30
Margot,Ibbitson,50,14
Brenden,Greengrass,40,24
Pepi,Marte,52,12
Lindi,Veare,54,10
Randi,Slucock,45,19
Tate,Guitton,58,6
Farris,Queree,26,38
Janina,Goulstone,55,9
Samara,McCuaig,25,39
Austin,Sangwin,49,15
Jasmina,Langforth,52,12
Marve,Geaney,40,24
Alyda,Drinkel,25,39
Karry,McLean,41,23
Jorgan,Beggan,36,28
Ned,Mathouse,31,33
Harrietta,Chumley,27,37
Florida,Forestall,60,4
Dodie,Potteril,23,41
Lacey,Addeycott,24,40
Yoshiko,Cona,49,15
Maggi,Readwood,48,16
Davon,Regglar,40,24
Laird,Dainty,32,32
Melvin,Halfhyde,47,17
Emlen,Dumingo,46,18
Aliza,Tarbett,26,38
Rosalynd,Henrion,43,21
Agata,Martyn,49,15
Basia,Oswal,60,4
Trumaine,Beggs,48,16
Loreen,MacCauley,41,23
Lynea,Zorzi,35,29
Hans,Bolstridge,37,27
Irvine,Roycroft,36,28
Thorstein,Valente,26,38
Rosemonde,Grovier,23,41
Pepe,Elsey,62,2
Nick,Jurzyk,60,4
Katharina,Joscelyne,62,2
Skip,Geipel,46,18
Parrnell,Penrith,23,41
Reggis,Ferandez,45,19
Valentine,Bischof,41,23
Adah,Townson,55,9
Andy,Yosifov,50,14
Tracey,Milham,21,43
Tammie,Meynell,55,9
Haywood,Tithecote,60,4
Caye,Gove,23,41
Armstrong,Nutman,30,34
Mariska,Bront,53,11
Shina,Ivanin,48,16
Vance,Bissiker,25,39
Ebenezer,Tussaine,33,31
Findley,Enriques,56,8
Rosamond,Belshaw,46,18
Barclay,Fieldgate,51,13
Tammie,O' Connell,49,15
Jami,Plunket,63,1
Stacee,Spinetti,46,18
Correna,Segrave,36,28
Gil,Hele,59,5
Isaiah,Doig,39,25
Davidson,Quodling,63,1
Saul,Swaby,44,20
Melanie,Glassard,53,11
Sharity,Galland,47,17
Antoine,Lillgard,40,24
Dorotea,Wadesworth,22,42
Kimberlee,Ciani,49,15
Pauline,Dorsey,60,4
Bettina,Forward,61,3
Mike,Ginnelly,36,28
Conroy,Hatcliffe,21,43
Cecil,Gavaghan,33,31
Filippa,Pattingson,38,26
Janene,Harford,62,2
Carri,Livings,35,29
Mitzi,Kleinhandler,36,28
Shaine,Matas,28,36
Fraze,Tutin,61,3
Nola,Mallett,29,35
Hardy,Burford,42,22
Sarine,Pedlingham,29,35
Bary,Amyes,59,5
Berthe,Sheerman,46,18
Charisse,Divina,41,23
Calla,Emms,29,35
West,Breheny,50,14
Patsy,Piner,29,35
Fairleigh,Janusz,53,11
Rodrick,Lepere,42,22
Kissie,Burkert,43,21
Alanson,Joost,26,38
Shelly,Deares,46,18
Angy,Moseby,39,25
Corabel,Triggol,29,35
Jose,Kennan,47,17
Ferd,Dey,61,3
Katlin,Bumphrey,34,30
Dana,Gauld,42,22
Alys,McReidy,44,20
Maure,Kenwell,35,29
Virgie,Roark,55,9
Jacklin,Biggerstaff,48,16
Wade,Fautly,56,8
Loydie,Capewell,45,19
Emmalynn,Sankey,45,19
Shannon,Gerring,61,3
Denna,Cornewall,56,8
Meyer,Barca,62,2
Goldia,Macklin,26,38
Curry,Dawbery,53,11
Heidi,Elderkin,56,8
Peggie,Derrett,23,41
Ingunna,Hauck,24,40
Emmott,Gosson,38,26
Guinna,O'Currine,35,29
Haleigh,Causier,20,44
Karel,Hovenden,27,37
Ragnar,Heathcott,24,40
Axe,Gleder,23,41
Poul,Frane,63,1
Jerry,Pelerin,44,20
Gayler,Littledike,23,41
Bartlett,Chilvers,42,22
Harwell,Munnings,58,6
Russell,Constantine,46,18
Zulema,Ludlom,54,10
Dewain,Wogdon,37,27
Merrily,Altamirano,55,9
Bartholemy,Rattrie,56,8
Leroi,Heikkinen,55,9
Kamila,Blakes,40,24
Vincent,Seedull,28,36
Remy,La Torre,27,37
Brig,Lawty,41,23
Kassie,Darben,42,22
Barnie,Drees,38,26
Leslie,Pezey,33,31
Ted,Gobel,53,11
Noach,Pagen,42,22
Elita,Taggert,52,12
Tony,Roches,28,36
Phelia,Wines,38,26
Kris,Boarer,57,7
Courtnay,Fearey,54,10
Bartie,Pedrazzi,27,37
Pincas,Sogg,32,32
Delainey,Rand,48,16
Alvy,Fleis,44,20
Chrotoem,Thominga,43,21
Ebeneser,Gobel,48,16
Orelee,Perillio,27,37
Carmelita,Wiffen,57,7
Dion,Grimestone,45,19
Terry,Sloey,59,5
Reube,Pallaske,24,40
Ossie,Woodard,51,13
Olly,Navarijo,38,26
Maybelle,Shackesby,44,20
Seumas,Plum,38,26
Burl,Glassborow,28,36
Farra,Laidler,22,42
Olwen,Callicott,37,27
Zoe,Djorvic,63,1
Tonye,Faudrie,63,1
Jody,Alvin,26,38
Brandie,Feuell,30,34
Mic,Stonard,42,22
Jilli,Kevane,59,5
Jessie,Fforde,50,14
Eleonora,Manntschke,53,11
Westley,Bergin,61,3
Thelma,Carabine,46,18
Nannie,Ferebee,43,21
Sib,Klink,33,31
Keely,Skellion,25,39
Erinna,Rosthorn,46,18
Elvin,Lewinton,55,9
Rosana,Zoellner,28,36
Elaine,Blackborough,34,30
Roddie,Ovett,34,30
Ninnetta,Galia,24,40
Casandra,Norewood,24,40
Pen,Haney`,22,42
Brigg,Mendel,62,2
Susana,Cookney,51,13
Codi,Widger,30,34
Sonny,Finlason,56,8
Felike,Whardley,39,25
Aileen,Overill,39,25
Rayna,Hobble,57,7
Dela,Corradeschi,50,14
Temple,Arnald,45,19
Corey,Garnsworthy,43,21
Lyssa,Skotcher,45,19
Farra,Congreave,35,29
Chanda,Hartle,46,18
Emmott,Pressman,33,31
Alvera,Roussel,49,15
Korney,Pennington,44,20
Travus,Rousby,37,27
Wakefield,Pleaden,63,1
Amy,Pirrie,46,18
Barn,Poyntz,53,11
Heindrick,Okie,24,40
Gan,Thulborn,21,43
Delphinia,Wallach,31,33
Harlin,Hallad,41,23
Ida,Side,56,8
Lia,Cavilla,59,5
Tammie,Bevans,58,6
Towney,Genny,21,43
Darsie,Midson,50,14
Bobbee,Timeby,38,26
Giacinta,Pardal,57,7
Justinian,McCrossan,51,13
Maxine,Peizer,26,38
Claudell,Oloshin,57,7
Risa,Marc,45,19
Leontine,Kowalski,57,7
Yasmin,Lindsell,49,15
Carlyle,Bestwick,31,33
Arnold,Emps,54,10
Cassandry,Trevaskus,51,13
Julianna,Whitlock,45,19
Meryl,Grzelewski,26,38
Louella,Ketch,21,43
Meredith,Dreng,48,16
Brana,Bridgstock,52,12
Efrem,Roswarne,61,3
Catrina,Hannabuss,35,29
Ainslie,Swansbury,33,31
Jerry,Archard,38,26
Cly,Chevis,36,28
Tarrance,Alves,40,24
Geneva,Bakesef,40,24
